ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,busselton,-33.65,115.3333,54.93,76,0,15.05,AU,1669562525
1,cape town,-33.9258,18.4232,82.11,52,0,21.85,ZA,1669562526
2,thompson,55.7435,-97.8558,14.16,92,100,3.44,CA,1669562528
3,touros,-5.1989,-35.4608,85.44,58,100,11.65,BR,1669562493
4,avarua,-21.2078,-159.775,73.45,78,20,5.75,CK,1669562532
5,visnes,59.3556,5.2242,50.22,93,100,20.71,NO,1669562597
6,sambava,-14.2667,50.1667,76.59,76,60,12.33,MG,1669562598
7,vaini,-21.2,-175.2,77.16,94,20,5.75,TO,1669562601
8,taguatinga,-12.3857,-46.5711,80.01,72,100,3.71,BR,1669562602
9,nikolskoye,59.7035,30.7861,21.09,90,100,5.44,RU,1669562603
10,tiksi,71.6872,128.8694,-25.98,98,99,7.83,RU,1669562604
11,lorengau,-2.0226,147.2712,81.46,73,50,7.09,PG,1669562605
12,tasiilaq,65.6145,-37.6368,13.05,61,24,7.36,GL,1669562607
13,cidreira,-30.1811,-50.2056,74.26,76,67,14.2,BR,1669562608
14,yar-sale,66.8333,70.8333,-1.55,94,56,6.17,RU,1669562610
15,chitrakonda,18.1167,82.0833,63.12,63,13,3.58,IN,1669562611
16,rikitea,-23.1203,-134.9692,73.98,81,93,2.86,PF,1669562592
17,geraldton,-28.7667,114.6,66.61,72,0,14.97,AU,1669562612
18,bengkulu,-3.8004,102.2655,76.86,87,99,3.69,ID,1669562613
19,carnarvon,-24.8667,113.6333,70.61,78,0,24.02,AU,1669562614
20,saint george,37.1041,-113.5841,37.8,58,0,0.0,US,1669562401
21,barrow,71.2906,-156.7887,-2.18,78,100,5.75,US,1669562616
22,albany,42.6001,-73.9662,46.42,65,100,3.56,US,1669562617
23,buraydah,26.326,43.975,81.05,28,6,9.06,SA,1669562346
24,naze,28.3667,129.4833,70.72,64,100,14.27,JP,1669562619
25,daru,-9.0763,143.2092,78.84,84,100,0.2,PG,1669562620
26,provideniya,64.3833,-173.3,16.43,95,73,3.15,RU,1669562621
27,beringovskiy,63.05,179.3167,8.62,99,100,9.01,RU,1669562622
28,cap malheureux,-19.9842,57.6142,76.46,66,2,3.0,MU,1669562623
29,nishihara,26.1842,127.7558,74.68,69,20,13.8,JP,1669562624
30,nouakchott,18.0858,-15.9785,93.13,27,0,10.71,MR,1669562533
31,preobrazheniye,42.9019,133.9064,31.82,62,51,5.86,RU,1669562626
32,champerico,14.3,-91.9167,77.54,75,90,2.42,GT,1669562627
33,makat,47.6469,53.3463,32.04,31,100,18.05,KZ,1669562628
34,kavieng,-2.5744,150.7967,83.03,72,66,8.77,PG,1669562629
35,punta arenas,-53.15,-70.9167,57.31,41,0,17.27,CL,1669562630
36,khorixas,-20.3667,14.9667,90.55,9,0,17.47,NA,1669562632
37,fairbanks,64.8378,-147.7164,12.6,89,100,0.0,US,1669562634
38,jamestown,42.097,-79.2353,43.72,72,100,4.61,US,1669562366
39,san policarpo,12.1791,125.5072,82.09,77,91,13.89,PH,1669562636
40,torbay,47.6666,-52.7314,42.58,96,100,18.01,CA,1669562638
41,aklavik,68.2191,-135.0107,-13.0,77,40,6.91,CA,1669562639
42,bluff,-46.6,168.3333,45.39,80,55,6.42,NZ,1669562640
43,bredasdorp,-34.5322,20.0403,70.03,53,1,18.12,ZA,1669562641
44,ushuaia,-54.8,-68.3,53.22,62,0,5.75,AR,1669562642
45,korsor,55.3299,11.1386,43.99,100,100,18.39,DK,1669562643
46,beyneu,45.3167,55.2,36.41,61,94,21.92,KZ,1669562645
47,cherskiy,68.75,161.3,-34.73,100,52,0.92,RU,1669562646
48,gornopravdinsk,60.05,69.9,-7.91,92,55,5.75,RU,1669562647
49,atuona,-9.8,-139.0333,76.95,76,17,13.87,PF,1669562649
50,clyde river,70.4692,-68.5914,-21.77,76,0,2.3,CA,1669562650
51,kapaa,22.0752,-159.319,67.98,77,20,8.05,US,1669562651
52,asau,46.4333,26.4,38.32,92,100,2.26,RO,1669562653
53,guerrero negro,27.9769,-114.0611,60.35,72,6,6.08,MX,1669562654
54,lebu,-37.6167,-73.65,65.98,62,0,9.8,CL,1669562655
55,kaa-khem,51.6833,94.7333,-16.83,92,100,3.09,RU,1669562656
56,khatanga,71.9667,102.5,-20.76,100,91,2.71,RU,1669562657
57,cabo san lucas,22.8909,-109.9124,73.51,51,0,5.75,MX,1669562632
58,mataura,-46.1927,168.8643,38.28,99,15,1.97,NZ,1669562659
59,point pleasant,40.0832,-74.0682,53.11,71,0,10.36,US,1669562660
60,butaritari,3.0707,172.7902,80.85,74,9,9.33,KI,1669562662
61,wanlaweyn,2.6185,44.8938,84.85,55,99,8.93,SO,1669562663
62,qaanaaq,77.484,-69.3632,-8.3,75,88,6.64,GL,1669562665
63,kisesa,-3.0833,34.15,77.7,45,100,3.76,TZ,1669562666
64,teya,60.3778,92.6267,-14.85,97,100,3.51,RU,1669562668
65,rawson,-43.3002,-65.1023,69.12,52,39,15.35,AR,1669562450
66,zheleznodorozhnyy,55.7503,38.0042,27.12,94,100,8.55,RU,1669562670
67,ribeira grande,38.5167,-28.7,64.8,63,75,21.99,PT,1669562671
68,tiznit,29.5833,-9.5,77.2,18,0,10.69,MA,1669562672
69,grand forks,47.9417,-97.4337,21.13,79,0,4.61,US,1669562514
70,san patricio,28.017,-97.5169,62.85,73,0,9.69,US,1669562674
71,bathsheba,13.2167,-59.5167,86.61,70,40,25.32,BB,1669562675
72,taoudenni,22.6783,-3.9836,84.33,18,98,19.15,ML,1669562470
73,victoria,22.2855,114.1577,78.85,91,78,11.01,HK,1669562677
74,almaznyy,48.0448,40.045,36.18,89,100,8.59,RU,1669562679
75,hermanus,-34.4187,19.2345,74.8,53,0,22.95,ZA,1669562680
76,zalantun,48.0,122.7167,-0.65,99,70,4.41,CN,1669562681
77,ahipara,-35.1667,173.1667,57.0,78,23,11.43,NZ,1669562589
78,ust-nera,64.5667,143.2,-40.45,98,60,3.36,RU,1669562683
79,oksovskiy,62.6062,39.8984,9.41,96,82,4.32,RU,1669562684
80,myatlevo,54.8969,35.6762,29.61,96,100,8.95,RU,1669562686
81,iqaluit,63.7506,-68.5145,10.13,67,100,18.41,CA,1669562687
82,chokurdakh,70.6333,147.9167,-40.63,100,55,2.68,RU,1669562688
83,saint-philippe,-21.3585,55.7679,76.59,70,1,9.64,RE,1669562689
84,new norfolk,-42.7826,147.0587,47.91,65,9,1.01,AU,1669562690
85,egvekinot,66.3167,-179.1667,-6.65,88,17,5.03,RU,1669562691
86,lata,40.1629,-8.3327,55.08,90,100,4.09,PT,1669562693
87,watsa,3.0372,29.5355,70.34,93,100,2.62,CD,1669562693
88,palmer,42.1584,-72.3287,50.65,63,75,3.44,US,1669562447
89,havoysund,70.9963,24.6622,34.03,73,41,8.55,NO,1669562696
90,divicani,44.3667,17.3261,39.18,91,94,2.71,BA,1669562698
91,katsuura,35.1333,140.3,57.31,68,70,7.94,JP,1669562699
92,hobart,-42.8794,147.3294,48.25,69,8,9.22,AU,1669562700
93,atasu,48.6814,71.6433,-4.99,73,0,10.6,KZ,1669562701
94,upernavik,72.7868,-56.1549,9.77,79,100,5.28,GL,1669562702
95,boone,39.0334,-92.3335,44.85,87,100,13.67,US,1669562667
96,mar del plata,-38.0023,-57.5575,71.62,91,40,11.99,AR,1669562702
97,yarada,17.65,83.2667,70.12,94,20,2.3,IN,1669562705
98,yellowknife,62.456,-114.3525,9.12,85,100,11.5,CA,1669562706
99,kargasok,59.0556,80.8572,-7.06,91,98,7.61,RU,1669562707
100,yerbogachen,61.2767,108.0108,-16.13,87,100,7.85,RU,1669562708
101,port alfred,-33.5906,26.891,69.19,85,83,5.01,ZA,1669562709
102,puerto ayora,-0.7393,-90.3518,73.36,90,88,8.93,EC,1669562710
103,kondinskoye,59.6481,67.41,-7.65,91,17,7.83,RU,1669562711
104,namibe,-15.1961,12.1522,74.12,77,33,9.62,AO,1669562713
105,nuevo progreso,23.1667,-97.95,74.89,64,3,8.57,MX,1669562714
106,labuhan,-6.8844,112.2051,80.24,79,100,2.42,ID,1669562715
107,lodja,-3.4833,23.4333,81.37,62,93,1.39,CD,1669562716
108,ilulissat,69.2167,-51.1,21.22,79,100,10.36,GL,1669562718
109,aksu,41.1231,80.2644,34.63,14,1,6.73,CN,1669562720
110,rio gallegos,-51.6226,-69.2181,62.65,31,0,5.75,AR,1669562721
111,ozernovskiy,51.5,156.5167,34.3,83,94,15.3,RU,1669562722
112,williston,48.147,-103.618,32.74,76,32,1.01,US,1669562566
113,caraballeda,10.6112,-66.8522,87.87,74,40,5.75,VE,1669562723
114,pisco,-13.7,-76.2167,70.02,83,100,4.61,PE,1669562724
115,kimbe,-5.5502,150.1429,77.34,89,98,1.59,PG,1669562727
116,uusikaupunki,60.8004,21.4084,32.49,93,100,7.47,FI,1669562729
117,arraial do cabo,-22.9661,-42.0278,80.56,78,40,23.02,BR,1669562730
118,tuatapere,-46.1333,167.6833,40.78,94,54,3.53,NZ,1669562731
119,san cristobal,7.7669,-72.225,77.18,67,100,2.17,VE,1669562732
120,airai,-8.9266,125.4092,61.36,94,100,1.43,TL,1669562733
121,bobo dioulasso,11.1771,-4.2979,93.43,12,45,4.09,BF,1669562734
122,saskylakh,71.9167,114.0833,-9.56,99,100,3.91,RU,1669562736
123,livingston,55.9029,-3.5226,51.48,72,20,5.75,GB,1669562737
124,bethel,41.3712,-73.414,49.71,60,0,0.0,US,1669562738
125,georgetown,5.4112,100.3354,80.24,86,20,2.3,MY,1669562739
126,paime,5.3708,-74.1528,71.92,94,100,2.39,CO,1669562740
127,aswan,24.0934,32.907,76.26,29,78,8.1,EG,1669562741
128,thornaby,54.5333,-1.3,50.36,86,20,12.66,GB,1669562743
129,sao filipe,14.8961,-24.4956,80.26,57,0,9.01,CV,1669562745
130,inta,66.0317,60.1659,2.46,93,91,14.36,RU,1669562747
131,itoman,26.1247,127.6694,75.4,69,20,12.66,JP,1669562748
132,haines junction,60.7522,-137.5108,19.35,63,100,6.91,CA,1669562749
133,aksha,50.2814,113.2867,3.45,80,100,11.68,RU,1669562750
134,chimore,-16.9833,-65.1333,98.01,19,0,4.27,BO,1669562752
135,josanicka banja,43.3895,20.7503,38.5,99,100,2.71,RS,1669562753
136,kaeo,-35.1,173.7833,54.32,91,20,6.44,NZ,1669562754
137,fuerte olimpo,-21.0415,-57.8738,97.18,21,0,7.56,PY,1669562659
138,trairi,-3.2778,-39.2689,87.85,55,100,12.3,BR,1669562630
139,nizwa,22.9333,57.5333,76.73,28,71,1.36,OM,1669562758
140,arkadak,51.9326,43.4978,30.22,73,97,11.05,RU,1669562759
141,progreso,21.2833,-89.6667,78.91,72,95,5.66,MX,1669562760
142,hithadhoo,-0.6,73.0833,81.7,75,100,7.34,MV,1669562761
143,shubarshi,48.5872,57.1869,24.69,26,100,16.71,KZ,1669562763
144,wangqing,43.3218,129.7634,24.62,75,100,1.88,CN,1669562764
145,saldanha,-33.0117,17.9442,82.45,69,0,22.08,ZA,1669562765
146,qui nhon,13.7667,109.2333,76.82,88,18,3.91,VN,1669562767
147,longyearbyen,78.2186,15.6401,26.44,80,75,5.75,SJ,1669562768
148,kabinda,-6.1333,24.4833,71.04,91,100,1.3,CD,1669562769
149,tuktoyaktuk,69.4541,-133.0374,-20.2,76,0,4.61,CA,1669562770
150,tansen,27.8673,83.5467,51.85,75,0,3.8,NP,1669562771
151,vondrozo,-22.8167,47.2833,73.0,69,0,7.81,MG,1669562773
152,kyren,51.6828,102.1408,-14.08,95,99,0.72,RU,1669562777
153,laguna,38.421,-121.4238,53.08,87,0,6.91,US,1669562778
154,bilibino,68.0546,166.4372,-20.96,96,76,4.05,RU,1669562780
155,kearney,40.6995,-99.0815,32.56,80,0,11.5,US,1669562655
156,verkhnevilyuysk,63.4453,120.3167,-37.88,100,83,2.82,RU,1669562782
157,petropavlovsk-kamchatskiy,53.0452,158.6483,30.79,100,100,4.47,RU,1669562593
158,xining,36.6167,101.7667,40.28,27,41,1.92,CN,1669562558
